Data File,Category,Sub-Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY,Dataset Type
C96_ERA5_forcing_2021-02-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-08.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-23.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-01.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-23.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-29.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-29.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-15.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-11.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-12.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-10.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-06.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-05.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-07.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-26.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-04.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-05.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-30.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-23.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-19.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-04-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-22.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-22.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-30.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-06.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-23.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-21.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-16.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-27.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-11.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-02-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-24.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-21.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-20.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-03.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-09.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-29.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-13.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-01.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-23.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-02.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-27.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-26.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-06-10.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-27.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-09-19.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-17.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-06.nc,forcing,datm,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-05-07.nc,forcing,datm,96,,.nc,12313780,,era5
