Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY
C96_GDAS_forcing_2016-03-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-29.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-28.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-10-22.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-14.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-31.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-02.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-08-31.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-30.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-01-23.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-29.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-13.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-08.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-05.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-11.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-31.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-04-16.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-03-22.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-06-09.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-07-27.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-09-20.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-02-21.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-11-23.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-12-07.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
C96_GDAS_forcing_2016-05-25.nc,inputs,gdas,forcing,gdas,96,,.nc,14101708,
