Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Sub-Category 1,Sub-Category 2,Sub-Category 3
ufs.cpld.lnd.out.2000-01-03-00000.tile3.nc,,restarts,,,.nc,11555364,,,,gswp3
oro_C96.mx100.tile2.nc,,forcing,96,100,.nc,834883,,,orog_files,era5
oro_C96.mx100.tile4.nc,,forcing,96,100,.nc,834883,,,orog_files,era5
oro_C96.mx100.tile6.nc,,forcing,96,100,.nc,834883,,,orog_files,era5
oro_C96.mx100.tile3.nc,,forcing,96,100,.nc,834883,,,orog_files,era5
oro_C96.mx100.tile5.nc,,forcing,96,100,.nc,834883,,,orog_files,era5
oro_C96.mx100.tile1.nc,,forcing,96,100,.nc,834883,,,orog_files,era5
C96_ERA5_forcing_2021-07-03.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-21.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-06.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-07.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-15.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-20.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-26.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-01.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-04.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-17.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-01.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-03-29.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-08.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-01-25.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-17.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-10.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-30.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-12.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-12.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-03-31.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-24.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2019-12-28.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-25.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-18.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-08-15.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-16.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-05-13.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-06-26.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-04-14.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-10.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-10-16.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-11-21.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-09-22.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-02-12.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2021-07-19.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
C96_ERA5_forcing_2020-12-04.nc,,forcing,96,,.nc,12313780,,C96,datm,era5
