Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version (YYYY),Sub-Category 1,Sub-Category 2,Sub-Category 3
ne_10m_admin_0_seams.shx,inputs,shapefiles,,,.shx,308,,NaturalEarth,natural_earth,
ne_50m_populated_places.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces_lines.prj,inputs,shapefiles,,,.prj,143,,NaturalEarth,natural_earth,
ne_50m_admin_0_tiny_countries_scale_rank.shx,inputs,shapefiles,,,.shx,708,,NaturalEarth,natural_earth,
ne_10m_admin_0_map_units.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_land.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_admin_0_pacific_groupings.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_map_units.shx,inputs,shapefiles,,,.shx,172,,NaturalEarth,natural_earth,
ne_10m_admin_0_seams.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_10m_railroads.README.html,inputs,shapefiles,,,.html,23070,,NaturalEarth,natural_earth,
ne_10m_roads_north_america.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces_scale_rank.README.html,inputs,shapefiles,,,.html,25029,,NaturalEarth,natural_earth,
ne_10m_roads.shp,inputs,shapefiles,,,.shp,14516880,,NaturalEarth,natural_earth,
ne_110m_admin_0_boundary_lines_land.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_admin_0_boundary_lines_map_units.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_110m_admin_0_tiny_countries.README.html,inputs,shapefiles,,,.html,24562,,NaturalEarth,natural_earth,
ne_50m_populated_places_simple.shx,inputs,shapefiles,,,.shx,10092,,NaturalEarth,natural_earth,
ne_110m_admin_0_scale_rank.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces_scale_rank.shp,inputs,shapefiles,,,.shp,537436,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces_lakes.shx,inputs,shapefiles,,,.shx,36844,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_disputed_areas.dbf,inputs,shapefiles,,,.dbf,13513,,NaturalEarth,natural_earth,
ne_10m_admin_1_states_provinces.shx,inputs,shapefiles,,,.shx,36852,,NaturalEarth,natural_earth,
ne_10m_admin_0_label_points.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_10m_roads.shx,inputs,shapefiles,,,.shx,452908,,NaturalEarth,natural_earth,
ne_50m_admin_0_pacific_groupings.shx,inputs,shapefiles,,,.shx,596,,NaturalEarth,natural_earth,
ne_10m_admin_0_map_units.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_50m_airports.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_0_tiny_countries.prj,inputs,shapefiles,,,.prj,147,,NaturalEarth,natural_earth,
ne_110m_admin_1_states_provinces_lines.VERSION.txt,inputs,shapefiles,,,.txt,7,,NaturalEarth,natural_earth,
ne_10m_admin_0_pacific_groupings.README.html,inputs,shapefiles,,,.html,26515,,NaturalEarth,natural_earth,
ne_110m_admin_0_countries.dbf,inputs,shapefiles,,,.dbf,375450,,NaturalEarth,natural_earth,
ne_50m_admin_0_boundary_lines_disputed_areas.cpg,inputs,shapefiles,,,.cpg,5,,NaturalEarth,natural_earth,
ne_50m_admin_1_states_provinces_lines.README.html,inputs,shapefiles,,,.html,25029,,NaturalEarth,natural_earth,
ne_110m_admin_1_states_provinces_scale_rank.README.html,inputs,shapefiles,,,.html,24714,,NaturalEarth,natural_earth,
ne_50m_admin_0_breakaway_disputed_areas_scale_rank.shx,inputs,shapefiles,,,.shx,300,,NaturalEarth,natural_earth,
ne_10m_admin_0_countries.dbf,inputs,shapefiles,,,.dbf,599487,,NaturalEarth,natural_earth,
