Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,File Size (Bytes),Category,Sub-Category,Dataset,Version
C775.vegetation_greenness.tile7.halo4.nc,AQM,775,,,,.nc,5438703,,fix,input-data-20221101,
C775.vegetation_type.tile7.halo0.nc,AQM,775,,,,.nc,1111358,,fix,input-data-20221101,
C775.vegetation_type.tile7.halo4.nc,AQM,775,,,,.nc,1172414,,fix,input-data-20221101,
FENGSHA_p8_10km_inputs_CONUS_775.nc,AQM,,,,,.nc,9801110,,fix,input-data-20221101,
GC_cb6r3_ae6_aq.nml,AQM,,,,,.nml,6403,,fix,input-data-20221101,
Hourly_Emissions_regrid_rrfs_13km_20190801_t12z_h72.nc,AQM,,,,,.nc,80146098,,fix,input-data-20221101,
NR_cb6r3_ae6_aq.nml,AQM,,,,,.nml,1603,,fix,input-data-20221101,
PHOT_OPTICS.dat,AQM,,,,,.dat,89535,,fix,input-data-20221101,
Species_Table_TR_0.nml,AQM,,,,,.nml,261,,fix,input-data-20221101,
global_soilmgldas.t126.384.190.grb,AQM,,,,,.grb,1743072,,fix,input-data-20221101,
gspro_biogenics_1mar2017.txt,AQM,,,,,.txt,8550,,fix,input-data-20221101,
omi_cmaq_2015_361X179.dat,AQM,,,,,.dat,258009236,,fix,input-data-20221101,
pt-2019080112.nc,AQM,,,,,.nc,706760075,,fix,input-data-20221101,
grid_cice_NEMS_mx025.nc,CICE_FIX,,,025,025,.nc,68429840,,025,input-data-20221101,
kmtu_cice_NEMS_mx025.nc,CICE_FIX,,,025,025,.nc,6221520,,025,input-data-20221101,
mesh.mx025.nc,CICE_FIX,,,025,025,.nc,87108282,,025,input-data-20221101,
grid_cice_NEMS_mx050.nc,CICE_FIX,,,050,050,.nc,18248720,,050,input-data-20221101,
kmtu_cice_NEMS_mx050.nc,CICE_FIX,,,050,050,.nc,1659600,,050,input-data-20221101,
mesh.mx050.nc,CICE_FIX,,,050,050,.nc,23239514,,050,input-data-20221101,
grid_cice_NEMS_mx100.nc,CICE_FIX,,,100,100,.nc,5069840,,100,input-data-20221101,
kmtu_cice_NEMS_mx100.nc,CICE_FIX,,,100,100,.nc,461512,,100,input-data-20221101,
mesh.mx100.nc,CICE_FIX,,,100,100,.nc,6464854,,100,input-data-20221101,
grid_cice_NEMS_mx400.nc,CICE_FIX,,,400,400,.nc,111924,,400,input-data-20221101,
kmtu_cice_NEMS_mx400.nc,CICE_FIX,,,400,400,.nc,10804,,400,input-data-20221101,
mesh.mx400.nc,CICE_FIX,,,400,400,.nc,154762,,400,input-data-20221101,
grid_cice_NEMS_mx500.nc,CICE_FIX,,,500,500,.nc,111924,,500,input-data-20221101,
kmtu_cice_NEMS_mx500.nc,CICE_FIX,,,500,500,.nc,10804,,500,input-data-20221101,
mesh.mx500.nc,CICE_FIX,,,500,500,.nc,154762,,500,input-data-20221101,
cice_model_0.25.cpc.res_2011100100.nc,CICE_IC,,,,025,.nc,1916010176,,025,input-data-20221101,
