Data File,UFS Component,Resolution (C),Ocean Resolution (o),Ocean Resolution (mx),Ocean Resolution (w/o symbol),Data Format,Category,Sub-Category,Dataset,File Size (Bytes),Version
NEI2016v1_0.1x0.1_20190803_rwc.nc,AQM,,,,,.nc,NEI2016v1,NEXUS,input-data-20221101,248942977,2020-07
timezones_1x1.edit.nc,AQM,,,,,.nc,TIMEZONES,NEXUS,input-data-20221101,26543,2015-02
timezones_1x1.nc,AQM,,,,,.nc,TIMEZONES,NEXUS,input-data-20221101,25716,2015-02
timezones_voronoi_1x1.nc,AQM,,,,,.nc,TIMEZONES,NEXUS,input-data-20221101,28092,2015-02
nexus_nei2016_control_tilefix.py,AQM,,,,,.py,,NEXUS,input-data-20221101,1359,
nexus_nei2016_linker.py,AQM,,,,,.py,,NEXUS,input-data-20221101,8641,
nexus_root_parser.py,AQM,,,,,.py,,NEXUS,input-data-20221101,1379,
nexus_time_parser.py,AQM,,,,,.py,,NEXUS,input-data-20221101,1684,
AE_cb6r3_ae6_aq.nml,AQM,,,,,.nml,,fix,input-data-20221101,5980,
BEIS_RRFScmaq_C775.ncf,AQM,775,,,,.ncf,,fix,input-data-20221101,29095124,
C775.facsf.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1111417,
C775.facsf.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1172473,
C775.maximum_snow_albedo.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1111362,
C775.maximum_snow_albedo.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1172418,
C775.slope_type.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1111422,
C775.slope_type.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1172478,
C775.snowfree_albedo.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,18388604,
C775.snowfree_albedo.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,19406204,
C775.soil_type.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1111352,
C775.soil_type.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1172408,
C775.substrate_temperature.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1111467,
C775.substrate_temperature.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1172523,
C775.vegetation_greenness.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,5153775,
C775.vegetation_greenness.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,5438703,
C775.vegetation_type.tile7.halo0.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1111358,
C775.vegetation_type.tile7.halo4.nc,AQM,775,,,,.nc,,fix,input-data-20221101,1172414,
FENGSHA_p8_10km_inputs_CONUS_775.nc,AQM,,,,,.nc,,fix,input-data-20221101,9801110,
GC_cb6r3_ae6_aq.nml,AQM,,,,,.nml,,fix,input-data-20221101,6403,
Hourly_Emissions_regrid_rrfs_13km_20190801_t12z_h72.nc,AQM,,,,,.nc,,fix,input-data-20221101,80146098,
NR_cb6r3_ae6_aq.nml,AQM,,,,,.nml,,fix,input-data-20221101,1603,
PHOT_OPTICS.dat,AQM,,,,,.dat,,fix,input-data-20221101,89535,
Species_Table_TR_0.nml,AQM,,,,,.nml,,fix,input-data-20221101,261,
global_soilmgldas.t126.384.190.grb,AQM,,,,,.grb,,fix,input-data-20221101,1743072,
gspro_biogenics_1mar2017.txt,AQM,,,,,.txt,,fix,input-data-20221101,8550,
omi_cmaq_2015_361X179.dat,AQM,,,,,.dat,,fix,input-data-20221101,258009236,
pt-2019080112.nc,AQM,,,,,.nc,,fix,input-data-20221101,706760075,
grid_cice_NEMS_mx025.nc,CICE_FIX,,,025,025,.nc,,025,input-data-20221101,68429840,
kmtu_cice_NEMS_mx025.nc,CICE_FIX,,,025,025,.nc,,025,input-data-20221101,6221520,
mesh.mx025.nc,CICE_FIX,,,025,025,.nc,,025,input-data-20221101,87108282,
grid_cice_NEMS_mx050.nc,CICE_FIX,,,050,050,.nc,,050,input-data-20221101,18248720,
kmtu_cice_NEMS_mx050.nc,CICE_FIX,,,050,050,.nc,,050,input-data-20221101,1659600,
mesh.mx050.nc,CICE_FIX,,,050,050,.nc,,050,input-data-20221101,23239514,
grid_cice_NEMS_mx100.nc,CICE_FIX,,,100,100,.nc,,100,input-data-20221101,5069840,
kmtu_cice_NEMS_mx100.nc,CICE_FIX,,,100,100,.nc,,100,input-data-20221101,461512,
mesh.mx100.nc,CICE_FIX,,,100,100,.nc,,100,input-data-20221101,6464854,
grid_cice_NEMS_mx400.nc,CICE_FIX,,,400,400,.nc,,400,input-data-20221101,111924,
kmtu_cice_NEMS_mx400.nc,CICE_FIX,,,400,400,.nc,,400,input-data-20221101,10804,
mesh.mx400.nc,CICE_FIX,,,400,400,.nc,,400,input-data-20221101,154762,
grid_cice_NEMS_mx500.nc,CICE_FIX,,,500,500,.nc,,500,input-data-20221101,111924,
kmtu_cice_NEMS_mx500.nc,CICE_FIX,,,500,500,.nc,,500,input-data-20221101,10804,
mesh.mx500.nc,CICE_FIX,,,500,500,.nc,,500,input-data-20221101,154762,
cice_model_0.25.cpc.res_2011100100.nc,CICE_IC,,,,025,.nc,,025,input-data-20221101,1916010176,
