Data File,Category,Sub-Category 1,Sub-Category 2,Sub-Category 3,Resolution (C),Ocean Resolution (mx),Data Format,File Size (Bytes),Version,Dataset Type
sfc_data.tile1.nc,UFS_WM,NAGAPE,INPUT_L127,,,,.nc,4699919,,FV3_input_data
oro_data.tile2.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,753517,,FV3_input_data
oro_data.tile4.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,753517,,FV3_input_data
C96_grid.tile3.nc,UFS_WM,NAGAPE,INPUT,,96,,.nc,2094935,,FV3_input_data
sfc_data.tile5.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,1682634,,FV3_input_data
oro_data.tile6.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,753517,,FV3_input_data
sfc_data.tile2.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,1682634,,FV3_input_data
C96_grid.tile4.nc,UFS_WM,NAGAPE,INPUT,,96,,.nc,2094935,,FV3_input_data
C96_grid.tile1.nc,UFS_WM,NAGAPE,INPUT,,96,,.nc,2094935,,FV3_input_data
sfc_data.tile4.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,1682634,,FV3_input_data
oro_data.tile3.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,753517,,FV3_input_data
sfc_ctrl.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,12267,,FV3_input_data
gfs_data.tile6.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,21755908,,FV3_input_data
sfc_data.tile3.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,1682634,,FV3_input_data
gfs_data.tile2.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,21755908,,FV3_input_data
oro_data.tile5.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,753517,,FV3_input_data
gfs_data.tile4.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,21755908,,FV3_input_data
oro_data.tile1.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,753517,,FV3_input_data
grid_spec.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,21966,,FV3_input_data
C96_grid.tile5.nc,UFS_WM,NAGAPE,INPUT,,96,,.nc,2094935,,FV3_input_data
gfs_data.tile5.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,21755908,,FV3_input_data
gfs_data.tile3.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,21755908,,FV3_input_data
fv3_increment.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,528489100,,FV3_input_data
gfs_ctrl.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,7252,,FV3_input_data
sfc_data.tile6.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,1682634,,FV3_input_data
C96_grid.tile6.nc,UFS_WM,NAGAPE,INPUT,,96,,.nc,2094935,,FV3_input_data
gfs_data.tile1.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,21755908,,FV3_input_data
C96_grid.tile2.nc,UFS_WM,NAGAPE,INPUT,,96,,.nc,2094935,,FV3_input_data
sfc_data.tile1.nc,UFS_WM,NAGAPE,INPUT,,,,.nc,1682634,,FV3_input_data
global_soilmgldas.t126.384.190.grb,UFS_WM,NAGAPE,,,,,.grb,1743072,,FV3_input_data
global_mxsnoalb.uariz.t126.384.190.rg.grb,UFS_WM,NAGAPE,,,,,.grb,39994,,FV3_input_data
SOILPARM.TBL,UFS_WM,NAGAPE,,,,,.TBL,2184,,FV3_input_data
global_vegtype.igbp.t126.384.190.rg.grb,UFS_WM,NAGAPE,,,,,.grb,24602,,FV3_input_data
ugwp_c384_tau.nc,UFS_WM,NAGAPE,,,,,.nc,4868,,FV3_input_data
ufs_land_restart.2019-12-21_00-00-00.nc,restarts,NAGAPE,,,,,.nc,14111215,,era5
ufs.cpld.datm.r.2000-01-03-00000.nc,restarts,NAGAPE,,,,,.nc,18904,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile1.nc,restarts,NAGAPE,,,,,.nc,11555364,,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile6.nc,restarts,NAGAPE,2019,,,,.nc,11487503,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile4.nc,restarts,NAGAPE,2019,,,,.nc,11487503,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile1.nc,restarts,NAGAPE,2019,,,,.nc,11487503,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile3.nc,restarts,NAGAPE,2019,,,,.nc,11487503,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile5.nc,restarts,NAGAPE,2019,,,,.nc,11487503,2019,gswp3
ufs_land_restart.2019-12-21_00-00-00.tile2.nc,restarts,NAGAPE,2019,,,,.nc,11487503,2019,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile5.nc,restarts,NAGAPE,,,,,.nc,11555364,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile4.nc,restarts,NAGAPE,,,,,.nc,11555364,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile3.nc,restarts,NAGAPE,,,,,.nc,11555364,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile6.nc,restarts,NAGAPE,,,,,.nc,11555364,,gswp3
ufs.cpld.lnd.out.2000-01-03-00000.tile2.nc,restarts,NAGAPE,,,,,.nc,11555364,,gswp3
ufs.cpld.cpl.r.2000-01-03-00000.nc,restarts,NAGAPE,,,,,.nc,13390912,,gswp3
ufs-land_C96_static_fields.nc,forcing,NAGAPE,static,,96,,.nc,7991744,,era5
ufs-land_C96_init_2010-12-31_23-00-00.nc,forcing,NAGAPE,init,,96,,.nc,1321296,,era5
C96_ERA5_forcing_2021-05-11.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-18.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-09.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-03-27.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2019-12-16.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-10-29.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-01-16.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-07-29.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-12-12.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2021-08-01.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
C96_ERA5_forcing_2020-11-05.nc,forcing,NAGAPE,datm,C96,96,,.nc,12313780,,era5
